id,name,province,latitude,longitude,current_population,population_50yr_ago,avg_decline_rate,predicted_extinct_year
1,고성군,강원특별자치도,38.37796111,128.4701639,26810,55498,-0.01445,2203
2,양구군,강원특별자치도,38.10729167,127.9922444,20510,39007,-0.01277,2206
3,양양군,강원특별자치도,38.07283333,128.6213556,27398,44644,-0.00972,2293
4,영월군,강원특별자치도,37.18086111,128.4640194,36442,112588,-0.02231,2154
5,인제군,강원특별자치도,38.06697222,128.1726972,31131,56561,-0.01187,2255
6,정선군,강원특별자치도,37.37780833,128.6630861,33381,138541,-0.02806,2124
7,철원군,강원특별자치도,38.14405556,127.3157333,40130,65647,-0.0098,2330
8,태백시,강원특별자치도,37.16122778,128.9879972,37642,117087,-0.02244,2154
9,평창군,강원특별자치도,37.36791667,128.3923528,40038,93115,-0.01674,2203
10,화천군,강원특별자치도,38.10340833,127.7103556,22596,46025,-0.01413,2195
11,횡성군,강원특별자치도,37.48895833,127.9872222,46010,90916,-0.01353,2255
12,연천군,경기도,38.09336389,127.0770667,41027,67314,-0.00985,2330
13,고성군,경상남도,34.9699,128.3245417,47610,131449,-0.02011,2181
14,남해군,경상남도,34.83455833,127.8944667,39526,120864,-0.02211,2158
15,산청군,경상남도,35.41249167,127.8756194,33157,95928,-0.02102,2157
16,의령군,경상남도,35.31911944,128.2638222,24908,84224,-0.02407,2129
17,하동군,경상남도,35.06420278,127.7534306,40462,121204,-0.0217,2162
18,함양군,경상남도,35.51746944,127.7274194,35839,106433,-0.02153,2158
19,합천군,경상남도,35.56361667,128.1679306,39825,156827,-0.02704,2134
20,고령군,경상북도,35.72298611,128.2650222,29952,63005,-0.01476,2207
21,군위군,경상북도,36.23999722,128.5750778,22463,67286,-0.0217,2135
22,봉화군,경상북도,36.89026111,128.734875,28588,116054,-0.02763,2120
23,성주군,경상북도,35.91621111,128.2851528,41150,99981,-0.0176,2195
24,영덕군,경상북도,36.41210278,129.3683556,33043,108941,-0.02358,2143
25,영양군,경상북도,36.664275,129.1146222,15281,67851,-0.02937,2093
26,울릉군,경상북도,37.480575,130.9037889,9017,29199,-0.02323,2089
27,울진군,경상북도,36.99018611,129.4027861,46012,105096,-0.01638,2215
28,의성군,경상북도,36.34975833,128.6993639,48448,179570,-0.02586,2147
29,청도군,경상북도,35.64431111,128.7362,40360,103964,-0.01875,2184
30,청송군,경상북도,36.43329167,129.0594,23615,81821,-0.02455,2124
31,중구,부산광역시,35.10321667,129.0345083,37295,111095,-0.02159,2159
32,옹진군,인천광역시,37.443725,126.6388889,19796,51237,-0.01884,2146
33,강진군,전라남도,34.63891111,126.7691972,32009,107499,-0.02394,2139
34,곡성군,전라남도,35.27895556,127.2941083,26609,93104,-0.02474,2128
35,구례군,전라남도,35.19945833,127.4649333,23976,68703,-0.02083,2143
36,담양군,전라남도,35.318125,126.9901639,44451,108273,-0.01765,2199
37,보성군,전라남도,34.76833333,127.0820889,36947,152928,-0.02801,2128
38,신안군,전라남도,34.78981111,126.3817306,38835,157502,-0.02761,2131
39,완도군,전라남도,34.30785278,126.7570972,45263,141070,-0.02248,2162
40,장성군,전라남도,35.29881111,126.786975,42655,115859,-0.01979,2178
41,장흥군,전라남도,34.678525,126.9091083,34322,123924,-0.02535,2136
42,진도군,전라남도,34.48375,126.2655444,28358,100380,-0.02496,2130
43,함평군,전라남도,35.06274444,126.5186194,29813,119167,-0.02733,2122
44,무주군,전라북도,36.00382778,127.6628667,22976,71177,-0.02236,2133
45,부안군,전라북도,35.72853333,126.7356778,47698,155805,-0.0234,2159
46,순창군,전라북도,35.37138889,127.1396306,26828,91698,-0.02428,2131
47,임실군,전라북도,35.60806389,127.2847528,25486,104294,-0.02779,2115
48,장수군,전라북도,35.64429722,127.5233,20490,73138,-0.02513,2116
49,진안군,전라북도,35.78871944,127.4269667,24238,95769,-0.02711,2116
50,금산군,충청남도,36.10586944,127.4903083,49410,122707,-0.01803,2201
51,서천군,충청남도,36.07740556,126.6938889,47876,140670,-0.02133,2172
52,청양군,충청남도,36.45626944,126.8042556,29440,85744,-0.02115,2151
53,괴산군,충청북도,36.81243056,127.7888306,35925,140699,-0.02693,2131
54,단양군,충청북도,36.98178056,128.3678417,27086,89806,-0.02369,2134
55,보은군,충청북도,36.48653333,127.7316083,30309,97601,-0.02312,2141
56,영동군,충청북도,36.17205833,127.7856111,43142,108996,-0.01837,2191
57,옥천군,충청북도,36.30355,127.5736333,48364,103057,-0.01502,2236
